Title,Genre,RunningTime,Grade,ReleaseDate,Sales,Audiences,Screens,Plays,MajorNationality,Nationality,Agency,MovieID,Sparkline
퓨리,"액션,드라마,전쟁",134,15세 이상 관람가,2014-11-20,10367640686,1362114,590,37155,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),20140694,0
프리즌,"범죄,액션",125,청소년 관람불가,2017-03-23,23785901987,2931011,1047,88977,한국,한국,(주)쇼박스,20162181,0
피끓는 청춘,"코미디,멜로/로맨스,드라마",121,15세 이상 관람가,2014-01-22,11688382888,1676040,679,36082,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,20139881,0
하녀,"스릴러,멜로/로맨스",106,청소년 관람불가,2010-05-13,17038639000,2267556,555,59621,한국,한국,(주)싸이더스,20100188,0
하모니,드라마,115,12세 이상 관람가,2010-01-28,21641750000,3018131,384,77723,한국,한국,씨제이엔터테인먼트,20090914,0
하울링,"범죄,드라마",114,15세 이상 관람가,2012-02-16,11765293500,1612554,550,44753,한국,한국,씨제이이앤엠(주),20110249,0
하울의 움직이는 성,애니메이션,119,전체 관람가,2004-12-23,15142680000,2432351,183,31049,일본,일본,"(주)이수C&E,(주)시네마서비스",20040756,0
한반도,"드라마,액션",147,12세 이상 관람가,2006-07-13,20597497600,3331593,483,49539,한국,한국,씨제이엔터테인먼트,20060147,0
해결사,"액션,스릴러",100,15세 이상 관람가,2010-09-09,13844624000,1843404,525,59325,한국,한국,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",20100305,0
해리 포터와 불사조 기사단,"판타지,액션,어드벤처",137,전체 관람가,2007-07-11,22899775300,3691060,768,52349,미국,미국,워너브러더스 코리아(주),20070063,0
해리 포터와 죽음의 성물1,"미스터리,판타지",146,전체 관람가,2010-12-15,16974636000,2396988,717,40463,미국,미국,워너브러더스 코리아(주),20101224,0
해리 포터와 혼혈 왕자,"어드벤처,액션,가족",153,전체 관람가,2009-07-15,20267293000,2957706,751,48112,미국,미국,워너브러더스 코리아(주),20090379,0
해리포터와 불의 잔,판타지,156,전체 관람가,2005-12-01,20628374500,3301353,504,40260,미국,미국,워너브러더스 코리아(주),20050310,0
해리포터와 아즈카반의 죄수,드라마,136,전체 관람가,2004-07-16,10926127000,1775031,228,18247,미국,미국,워너브러더스 코리아(주),20040598,0
해리포터와 죽음의 성물2,"판타지,미스터리",131,전체 관람가,2011-07-13,34507600000,4400270,757,70380,미국,미국,워너브러더스 코리아(주),20111009,0
해무(海霧),드라마,111,청소년 관람불가,2014-08-13,11706782519,1475507,584,33490,한국,한국,(주)넥스트엔터테인먼트월드(NEW),20134082,0
해바라기,"액션,드라마,가족,범죄",116,15세 이상 관람가,2006-11-23,7834688400,1304892,246,31829,한국,한국,(주)쇼박스,20060353,0
해운대,"액션,드라마,어드벤처",129,12세 이상 관람가,2009-07-22,81025004000,11324433,764,154277,한국,한국,씨제이엔터테인먼트,20090074,0
해적: 바다로 간 산적,어드벤처,130,12세 이상 관람가,2014-08-06,66370682706,8666046,910,133350,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,20136064,0
핸콕,"액션,드라마,코미디",92,12세 이상 관람가,2008-07-02,17844690500,2722574,602,60236,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,20080873,0
행복,"드라마,멜로/로맨스",119,15세 이상 관람가,2007-10-03,7737073000,1174401,332,35498,한국,한국,(주)쇼박스,20070433,0
향수 : 어느 살인자의 이야기,"드라마,스릴러",146,15세 이상 관람가,2007-03-22,5843781000,967593,237,26851,영국,영국,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",20070083,0
허브,드라마,114,12세 이상 관람가,2007-01-11,7644307000,1302952,267,30258,한국,한국,(주)쇼박스,20060412,0
허삼관,드라마,124,12세 이상 관람가,2015-01-14,7408943569,955679,621,27645,한국,한국,(주)넥스트엔터테인먼트월드(NEW),20131262,0
헬로우 고스트,"코미디,드라마",111,12세 이상 관람가,2010-12-22,22056966500,3019780,472,57578,한국,한국,(주)넥스트엔터테인먼트월드(NEW),20101223,0
헷지,"애니메이션,코미디",98,전체 관람가,2006-05-31,5043700100,837588,276,18257,미국,미국,씨제이엔터테인먼트,20060130,0
혈의 누,스릴러,119,15세 이상 관람가,2005-05-04,12367486506,1926592,264,35167,한국,한국,(주)시네마서비스,20050076,0
형,"코미디,드라마",110,12세 이상 관람가,2016-11-23,23113768293,2979659,993,83518,한국,한국,씨제이이앤엠(주),20154661,0
형사: Duelist,"멜로/로맨스,액션",113,12세 이상 관람가,2005-09-08,5840528000,920947,292,22217,한국,한국,코리아픽쳐스(주),20050216,0
호빗: 다섯 군대 전투,"어드벤처,판타지",144,12세 이상 관람가,2014-12-17,21428483344,2509887,926,43833,미국,"미국,뉴질랜드",워너브러더스 코리아(주),20140226,0
호빗: 뜻밖의 여정,"어드벤처,판타지",169,12세 이상 관람가,2012-12-13,21724069066,2605124,1028,44977,미국,"미국,뉴질랜드",워너브러더스 코리아(주),20125048,0
호빗: 스마우그의 폐허,"어드벤처,드라마,판타지",161,12세 이상 관람가,2013-12-12,16564184549,2115878,811,35223,미국,"미국,뉴질랜드",워너브러더스 코리아(주),20134267,0
혹성탈출: 반격의 서막,"액션,드라마,SF,스릴러",130,12세 이상 관람가,2014-07-10,31514053095,4002560,956,72881,미국,미국,이십세기폭스코리아(주),20148973,0
혹성탈출: 진화의 시작,"액션,SF,드라마",106,12세 이상 관람가,2011-08-17,20629757000,2773794,514,61229,미국,미국,이십세기폭스코리아(주),20110896,0
홀리데이,"드라마,스릴러,범죄",116,15세 이상 관람가,2006-01-19,7885116000,1257399,170,22092,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,20050349,0
화려한 휴가,드라마,125,12세 이상 관람가,2007-07-25,44098449600,6855300,551,96522,한국,한국,씨제이엔터테인먼트,20070209,0
화이: 괴물을 삼킨 아이,"액션,스릴러",125,청소년 관람불가,2013-10-09,17695412795,2394453,817,59049,한국,한국,(주)쇼박스,20123383,0
화차,미스터리,117,15세 이상 관람가,2012-03-08,18459428000,2436438,548,62643,한국,한국,필라멘트픽쳐스,20124050,0
황금 나침반,"판타지,드라마,액션,어드벤처",113,전체 관람가,2007-12-18,14566840000,2297587,492,33593,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,20070551,0
황진이,"드라마,멜로/로맨스",141,15세 이상 관람가,2007-06-06,7763374000,1191683,456,39064,한국,한국,(주)시네마서비스,20070128,0
황해,"스릴러,액션,범죄",156,청소년 관람불가,2010-12-22,11524115000,1497242,618,23295,한국,"한국,미국,중국","(주)쇼박스,이십세기폭스코리아(주)",20101222,0
회사원,"액션,드라마",96,청소년 관람불가,2012-10-11,8321175000,1110523,549,41275,한국,한국,(주)쇼박스,20113886,0
효자동 이발사,드라마,116,12세 이상 관람가,2004-05-05,4855872900,748380,83,10745,한국,한국,(주)쇼박스,20040483,0
후궁 : 제왕의 첩,"사극,멜로/로맨스",122,청소년 관람불가,2012-06-06,19330302500,2636320,624,69104,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,20113533,0
흡혈형사 나도열,"코미디,드라마",110,12세 이상 관람가,2006-02-09,9693558300,1563579,243,30494,한국,한국,(주)쇼박스,20060017,0
히말라야,드라마,124,12세 이상 관람가,2015-12-16,60175363015,7759761,1095,142715,한국,한국,씨제이이앤엠(주),20136068,0
